sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,GX_BIAS_LSB,GY_BIAS_LSB,GZ_BIAS_LSB,AX_BIAS_LSB,AY_BIAS_LSB,AZ_BIAS_LSB,ACC_LSB_PER_G,GYRO_LSB_PER_DPS,ACCEL_FS,GYRO_FS,DLPF_CFG
36,-0.001145,-1.000349,0.003133,-0.038326,0.024691,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
37,0.002273,-1.000105,-0.001140,-0.007792,-0.036378,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
38,0.003006,-1.002546,-0.004191,0.022742,-0.005844,0.079952,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
39,-0.001511,-1.001570,-0.000529,0.038010,-0.005844,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
40,-0.000656,-0.999372,0.001668,0.007475,-0.021111,0.034151,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
41,-0.002731,-0.999494,-0.000407,0.068544,0.009424,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
42,-0.000412,-1.001203,0.001424,0.038010,-0.036378,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
43,0.001297,-0.999372,-0.000651,-0.007792,0.024691,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
44,0.001053,-0.997785,-0.002971,-0.023059,-0.036378,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
45,-0.000900,-0.999128,-0.000041,0.022742,0.024691,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
46,0.001053,-0.999006,0.002523,0.022742,0.039958,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
47,0.003616,-1.000105,0.000936,-0.007792,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
48,0.003372,-1.000837,0.001546,0.053277,-0.036378,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
49,0.000931,-0.997175,0.000936,0.053277,-0.021111,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
50,-0.000046,-0.999128,0.000203,0.007475,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
51,-0.001267,-1.000715,0.000447,0.022742,-0.005844,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
52,-0.000534,-0.999983,-0.003825,-0.007792,0.024691,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
53,0.001175,-1.001081,-0.003947,-0.023059,-0.051645,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
54,0.002029,-1.001448,0.001790,-0.053593,-0.005844,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
55,0.005203,-0.998518,0.004354,-0.007792,0.055225,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
56,0.000076,-0.999617,-0.003215,0.007475,0.009424,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
57,-0.003342,-1.000349,-0.003093,-0.007792,-0.005844,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
58,0.001541,-1.001325,0.001058,-0.007792,0.024691,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
59,0.001053,-0.999128,0.002400,0.083811,0.009424,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
60,0.001419,-1.000349,0.000447,0.007475,0.055225,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
61,-0.000778,-1.000593,-0.000651,-0.007792,-0.021111,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
62,0.003738,-1.001081,-0.002604,-0.007792,-0.005844,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
63,0.000564,-1.000105,-0.003947,-0.023059,0.039958,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
64,0.003372,-1.001081,0.002523,0.038010,-0.051645,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
65,-0.004074,-0.998640,-0.001628,0.022742,0.024691,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
66,0.001907,-0.997908,-0.001750,0.007475,-0.005844,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
67,-0.001633,-0.999617,-0.000041,-0.068861,0.055225,-0.057452,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
68,-0.000046,-1.000715,-0.001750,-0.023059,-0.005844,0.034151,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
69,-0.000412,-0.999983,0.001058,0.038010,0.070492,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
70,-0.001267,-1.000959,-0.003093,-0.007792,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
71,-0.001511,-0.998274,-0.003337,0.053277,0.039958,-0.057452,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
72,-0.000534,-1.001692,0.003621,-0.038326,-0.066912,-0.087987,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
73,0.003006,-0.996687,-0.002482,0.007475,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
74,0.000931,-0.999617,0.005086,0.022742,0.039958,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
75,0.001419,-0.999494,-0.003215,-0.007792,-0.021111,-0.057452,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
76,0.002029,-0.998274,0.000081,0.022742,0.009424,0.064685,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
77,-0.003098,-0.998640,0.005086,-0.007792,0.009424,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
78,0.002029,-1.001814,0.000814,-0.007792,0.024691,0.064685,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
79,0.002151,-1.000471,0.000203,0.022742,0.024691,-0.057452,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
80,0.002396,-1.002302,-0.004558,-0.007792,-0.005844,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
81,-0.001877,-1.000837,-0.001628,-0.053593,0.009424,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
82,0.000442,-0.998762,-0.001017,-0.023059,-0.005844,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
83,0.002884,-1.000837,-0.001017,-0.038326,0.024691,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
84,-0.002121,-0.999617,0.000814,0.038010,0.009424,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
85,0.000442,-0.999372,0.000814,0.007475,-0.082179,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
86,-0.001022,-1.000837,0.002156,-0.007792,0.039958,0.064685,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
87,0.000564,-0.999861,-0.000407,-0.007792,0.009424,0.049418,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
88,-0.000412,-1.000593,-0.000773,0.007475,-0.021111,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
89,-0.000778,-0.998640,0.003743,0.038010,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
90,-0.002365,-0.998518,-0.000041,0.053277,-0.036378,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
91,-0.000534,-0.999372,-0.000407,0.038010,0.039958,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
92,-0.002854,-1.000715,-0.000041,-0.007792,0.024691,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
93,-0.005173,-1.000715,-0.002726,0.022742,0.009424,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
94,-0.002976,-1.000349,0.002156,0.038010,-0.036378,0.049418,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
